Sheathing,nail size,panel thickness,min width of nailed face,nail spacing,Vs (plf),Ga(OSB)(kips/in),Ga(Ply)(kips/in),LRFD,ASD,Assembly
Structural I,6d,5/16,2,4,750,12,10,600,375,Use 5/16 in thick Structural I panel  with 6d nails @ 4 o.c. spacing
Structural I,6d,5/16,3,4,840,9.5,8.5,672,420,Use 5/16 in thick Structural I panel  with 6d nails @ 4 o.c. spacing
Structural I,8d,3/8,2,4,1060,13,10,848,530,Use 3/8 in thick Structural I panel  with 8d nails @ 4 o.c. spacing
Structural I,8d,3/8,3,4,1200,10,9,960,600,Use 3/8 in thick Structural I panel  with 8d nails @ 4 o.c. spacing
Structural I,10d,15/32,2,4,1280,20,15,1024,640,Use 15/32 in thick Structural I panel  with 10d nails @ 4 o.c. spacing
Structural I,10d,15/32,3,4,1440,16,13,1152,720,Use 15/32 in thick Structural I panel  with 10d nails @ 4 o.c. spacing
Structural I,6d,5/16,2,3,950,20,15,760,475,Use 5/16 in thick Structural I panel  with 6d nails @ 3 o.c. spacing
Structural I,6d,5/16,3,3,840,17,13,672,420,Use 5/16 in thick Structural I panel  with 6d nails @ 3 o.c. spacing
Structural I,8d,3/8,2,3,1200,21,15,960,600,Use 3/8 in thick Structural I panel  with 8d nails @ 3 o.c. spacing
Structural I,8d,3/8,3,3,1350,18,13,1080,675,Use 3/8 in thick Structural I panel  with 8d nails @ 3 o.c. spacing
Structural I,10d,15/32,2,3,1460,31,21,1168,730,Use 15/32 in thick Structural I panel  with 10d nails @ 3 o.c. spacing
Structural I,10d,15/32,3,3,1640,26,18,1312,820,Use 15/32 in thick Structural I panel  with 10d nails @ 3 o.c. spacing
